Date,Unnamed: 0,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,month,year,Day_Perc_Change,Trend,volume scaled,sma_21,sma_34,MA,roll_CP_std,UP_band,LO_band,buy,sell,MA_std
2017-07-14,43,JUBLFOOD,EQ,1111.5,1115.35,1178.5,1105.0,1168.65,1164.6,1155.3,1579818,1825163863.0,45916,377304,23.88,7,2017,4.777327935222675,Among Top gainers,0.15455943295194316,1003.8285714285715,979.8164705882358,1042.5214285714287,77.51960475182456,1197.5606380750778,887.4822190677796,,,77.51960475182456
2017-07-17,44,JUBLFOOD,EQ,1164.6,1187.0,1285.9,1161.0,1269.0,1272.7,1223.24,6933168,8480935249.0,188338,444273,6.41,7,2017,9.2821569637644,Bull run,0.7210730779161957,1016.4571428571429,987.6194117647062,1067.071428571429,91.89374448092344,1250.8589175332759,883.283939609582,,,91.89374448092344
2017-07-18,45,JUBLFOOD,EQ,1272.7,1265.1,1334.95,1247.35,1322.0,1325.1,1312.75,5504940,7226606536.0,137752,696183,12.65,7,2017,4.117231083523198,Among Top gainers,0.5699320820687348,1033.9233333333334,1000.4567647058827,1094.7214285714288,107.05641164696881,1308.8342518653665,880.6086052774912,,,107.05641164696881
2017-07-19,46,JUBLFOOD,EQ,1325.1,1323.1,1329.05,1282.55,1288.95,1290.0,1293.74,1888442,2443145017.0,53320,408242,21.62,7,2017,-2.6488566900611192,Negative,0.18721930147603508,1051.341904761905,1011.7679411764708,1118.8571428571433,110.46453286905249,1339.7862085952484,897.9280771190383,,,110.46453286905249
2017-07-20,47,JUBLFOOD,EQ,1290.0,1290.0,1318.9,1286.95,1298.7,1298.1,1303.17,1003031,1307116305.0,26837,95953,9.57,7,2017,0.6279069767441747,Slight Positive,0.09352144631964815,1069.3585714285716,1023.3602941176473,1143.978571428572,108.19593998192062,1360.370451392413,927.5866914647307,,,108.19593998192062
2017-07-21,48,JUBLFOOD,EQ,1298.1,1300.0,1309.45,1237.5,1250.25,1254.0,1264.28,1135921,1436123268.0,30915,136171,11.99,7,2017,-3.3972729373699995,Among top Losers,0.10758441591425705,1085.3852380952383,1033.3673529411767,1162.1750000000004,103.29402162683996,1368.7630432536803,955.5869567463205,,,103.29402162683996
2017-07-24,49,JUBLFOOD,EQ,1254.0,1252.0,1266.65,1233.25,1251.95,1252.2,1249.87,708924,886061970.7,19291,70314,9.92,7,2017,-0.14354066985645675,Slight or No Change,0.062397826795518134,1101.161904761905,1042.474117647059,1178.3714285714289,97.83964454123877,1374.0507176539063,982.6921394889513,,,97.83964454123877
2017-07-25,50,JUBLFOOD,EQ,1252.2,1250.0,1308.0,1235.3,1295.9,1296.35,1281.34,1587139,2033671192.0,44968,148577,9.36,7,2017,3.5257946015013526,Among Top gainers,0.1553341714605001,1118.3400000000001,1052.0864705882357,1196.0428571428572,94.96593489882926,1385.9747269405157,1006.1109873451987,,,94.96593489882926
2017-07-26,51,JUBLFOOD,EQ,1296.35,1302.25,1312.4,1270.8,1277.0,1282.85,1295.13,1266049,1639693749.0,39680,188110,14.86,7,2017,-1.0413854283179649,Negative,0.12135509924187589,1135.8252380952383,1062.1605882352942,1210.6857142857145,91.06422802820818,1392.8141703421309,1028.5572582292982,,,91.06422802820818
2017-07-27,52,JUBLFOOD,EQ,1282.85,1283.0,1298.7,1268.1,1287.9,1278.45,1281.2,872533,1117891366.0,30444,236799,27.14,7,2017,-0.34298631952293107,Slight or No Change,0.07971160806125947,1152.3419047619052,1071.518823529412,1223.907142857143,86.01523088996976,1395.9376046370826,1051.8766810772036,,,86.01523088996976
