Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JUBLFOOD,EQ,22-Dec-17,1774.1,1783.6,1788.75,1755.25,1758.8,1764.8,1772.08,374442,663540384,15753,100153,26.75
JUBLFOOD,EQ,26-Dec-17,1764.8,1764.45,1796.45,1761.15,1776.15,1782.1,1783.41,312146,556685082.1,10698,33246,10.65
JUBLFOOD,EQ,27-Dec-17,1782.1,1785,1790.9,1711.75,1719,1724.15,1754.71,548224,961973682.7,25510,151548,27.64
JUBLFOOD,EQ,28-Dec-17,1724.15,1724.15,1739.45,1702.55,1724.85,1709.75,1718.25,504928,867594316.6,17832,101795,20.16
JUBLFOOD,EQ,29-Dec-17,1709.75,1725,1770,1715,1758.8,1761.1,1753.2,904031,1584942686,24409,167793,18.56
JUBLFOOD,EQ,01-Jan-18,1761.1,1750.25,1783.1,1745.75,1777,1776.6,1770.08,466361,825496059,13810,136331,29.23
JUBLFOOD,EQ,02-Jan-18,1776.6,1779.9,1805,1771.3,1790.5,1792.35,1789.3,649265,1161730783,23698,115070,17.72
JUBLFOOD,EQ,03-Jan-18,1792.35,1801,1857,1800,1846,1850.55,1836.51,1275474,2342414681,32899,318326,24.96
JUBLFOOD,EQ,04-Jan-18,1850.55,1858,1863.9,1820.3,1835.6,1838.75,1836.26,592506,1087995920,25697,187370,31.62
JUBLFOOD,EQ,05-Jan-18,1838.75,1859,1913.4,1841,1902.45,1904.35,1891.4,1270276,2402596474,34387,369901,29.12
JUBLFOOD,EQ,08-Jan-18,1904.35,1910,1944.25,1890,1930.1,1931,1919.96,719531,1381469871,22068,158448,22.02
JUBLFOOD,EQ,09-Jan-18,1931,1929,1931.85,1903.4,1923.05,1922,1919.8,377933,725554513.2,13570,112064,29.65
JUBLFOOD,EQ,10-Jan-18,1922,1943.15,1967,1910.4,1920.5,1920.5,1935.15,720309,1393907602,23553,95700,13.29
JUBLFOOD,EQ,11-Jan-18,1920.5,1925,1943.4,1905,1916.3,1923.4,1923.98,397754,765271004.8,17604,122266,30.74
JUBLFOOD,EQ,12-Jan-18,1923.4,1947,1950,1895,1903.05,1909.95,1919.32,532907,1022818382,30407,162610,30.51
JUBLFOOD,EQ,15-Jan-18,1909.95,1929,1932.8,1878.6,1900,1894.9,1900.98,452435,860070093.5,17508,117711,26.02
JUBLFOOD,EQ,16-Jan-18,1894.9,1901,1919.1,1865,1902.5,1899.55,1900.16,723285,1374360366,40311,246960,34.14
JUBLFOOD,EQ,17-Jan-18,1899.55,1891.1,1922,1879,1922,1906.25,1904.48,657539,1252268517,26742,247481,37.64
JUBLFOOD,EQ,18-Jan-18,1906.25,1920,1986.5,1920,1949.9,1943.35,1957.9,1463218,2864837596,46266,260142,17.78
JUBLFOOD,EQ,19-Jan-18,1943.35,1949.95,2112.9,1943.4,2101,2093.3,2031.46,5277319,10720660229,149113,621297,11.77
JUBLFOOD,EQ,22-Jan-18,2093.3,2155,2299,2141.55,2269.5,2273.3,2225.84,6219270,13843128444,191483,1197756,19.26
